Price,Review,Date,Rating,Rating_Value,URL
34.,"I ordered a size:M , and this is very well made I am 5'4"" and122 pounds, it fits perfect . The stitching is well done, the zipper is easy to zip, actually words cannot say how a lighter weight but not thin at all can look this nice, the fit is definitely not tight(not) oh I ordered this in black, can put full hands in the pockets, the gap logo on the inside is stitched all around no loose ends, it is quite pretty, well worth the money, I didn't have a problem at all with any shrinkage, washed in machine and fully dried it, order one, I am not getting any bonus for this review so, it fits like a hoodie should fit, not as I said tight at all!!","Reviewed in the United States on May 7, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"I wanted a go-to front zip hoodie to wear with casual jeans. This GAP hoodie is soft, well made, and very comfortable. (Nothing itchy or irritating) The strange thing is that it took two months to get to me. (I somewhat knew this when I ordered it as it gave me a window for delivery) I recently learned that these GAP hoodies are making a comeback and are now pretty popular among teenagers. (I am much, much older than a teenager. ) I wasn’t in a hurry for it so no big deal. If I wanted another one, I would most like go to a GAP store to see if they had them in stock. Happy with my purchase and would recommend this product.FYI-I am 5’6” 107 lbs purchased a small and it is loose fitting.","Reviewed in the United States on January 12, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"It looked short when I opened it, but it fits just right!","Reviewed in the United States on September 15, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"This was exactly what I pictured. It was thick enough and warm enough to wear this week during the transition weather.The zipper was great, easy to use. Love the color. Amazing fit.","Reviewed in the United States on May 25, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,Fit good,"Reviewed in the United States on September 2, 2024",4.0 out of 5 stars,4.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"Llegó a super tiempo, debidamente empacada sin ningún daño. Me encanta muy abrigadora y cómoda.","Reviewed in the United States on September 18, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"Gifted GD, and treated myself. Excellent quality. True to size.","Reviewed in the United States on August 11, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,She loved. the quality and perfect  Very satisfied thank you,"Reviewed in the United States on August 10, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"Sudadera de marca , tiene calidad","Reviewed in Spain on June 9, 2024",4.0 out of 5 stars,4.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,مو معقول اطلب جاكيت وتجيبولي بنطلون . الرجاء سرعة التبديل,"Reviewed in Saudi Arabia on October 24, 2023",1.0 out of 5 stars,1.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,Size fits well.,"Reviewed in Singapore on December 18, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,مناسب جدا,"Reviewed in Saudi Arabia on July 7, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
34.,"Llegó muy bien, en buen estado y en el tiempo establecido.","Reviewed in Mexico on June 17, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/Gap-womens-Logo-Hoodie-Sweatshirt/dp/B09R2KNYZQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"The quality is good and it fits perfect,it looks good on my baby and it's worth the price","Reviewed in the United States on May 26, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,I love that these Gap fits my cousins baby very well the texture and material is very good not too thick just perfect for your baby its an everyday wear.Colour is same as picture.I l9ve the style dress your baby like a pro with Gap.,"Reviewed in the United States on May 5, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,My Son loved this outfit for my Grandson,"Reviewed in the United States on May 10, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Excelente calidad, muy buen producto, recomendado!","Reviewed in the United States on April 1, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Excelente calidad y buen diseño,"Reviewed in the United States on March 17, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Compré desde Perú llego en la fecha indicada en perfecto estado el conjunto es de excelente calidad una belleza le quedó perfecto a mi hijo de 4 años,"Reviewed in the United States on December 6, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Good fit.,"Reviewed in the United States on November 5, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Muy cómodo y es fresco para climas cálidos lo recomiendo... Si lo necesitas para el frío tal ves no te sirva porque el pantalón es de una tela delgada,"Reviewed in Mexico on December 18, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Un poco amplio,"Reviewed in Mexico on January 12, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Le quedó precioso a mi nietito, aunque le servirá por poco tiempo. Aconsejo comprar una talla más grande. Parece de muy linda calidad!!","Reviewed in Mexico on October 5, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Short-Sleeve-Outfit-GALAXY/dp/B0B6DFY3ST/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,Calidad superior,"Reviewed in the United States on August 10, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,"Es un jean de muy buena calidad, la elasticidad es lo mejor, se siente muy cómodo y de calidad, este tipo de prenda no es fácil conseguir en mi país, la ropa de Gap es de muy buena calidad y de precios aun mejores, solamente es que en la bota de esta prenda se siente acampanado después del lavado, pero se soluciona teniendo una talla anterior o recomiendo no modificar el fit o entallarlo puesto se genera este acampanamiento en la bota tal vez por ser tan elástica la prenda... pero son muy buenos.","Reviewed in the United States on April 18, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,These pants are absolutely adorable! They are great material and very fashionable. The quality of the material can’t be beat. The size was spot on and for the price I’d say you can not find another pair like them. The material is very durable and my son says they are super comfortable,"Reviewed in the United States on April 13, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,Descent looking priced toddler jeans. Fit the look we were going for. Ok purchase,"Reviewed in the United States on July 21, 2024",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,"Comodos, colores sólidos, excelente calidad.","Reviewed in the United States on May 31, 2024",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,"This product is well-made. The fit is excellent for children, and the material is durable. The purchase met my expectations, and my child is comfortable in these jeans","Reviewed in the United States on December 25, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,"These are the only pants that fit my tall, thin kid and he is still comfortable in. Adjustable waistband is very helpful, I can make it tight enough, the pants don't fall down, but still has stretch and room to move. I also like the hook closure, as he has trouble with buttons and large snaps.","Reviewed in the United States on July 18, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
29.,"I purchased these jeans for my 8-year-old son and I couldn't be happier with the quality and fit. They are well-made and look fantastic on him. The sizing is accurate and the adjustable waistband ensures a comfortable fit. I especially appreciate the durability of the material, as I'm sure these jeans will make it through countless adventures and playtimes. I have no doubt that they will make it to the hand-me-down pile for my younger nephews to enjoy as well. Overall, I highly recommend these jeans. They are definitely the quality I’ve come to love and expect from the Gap.","Reviewed in the United States on May 3, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Boys-Skinny-Jeans-Black/dp/B0CCBC13YQ/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Bought it for a great price. Looks great. Goes with different outfits perfectly. Super soft, and breathable. Fits like it was made for me.","Reviewed in the United States on October 11, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Great shirt. Size runs a little small. Large fits more like medium. if you leave it unbuttoned  it looks good and is comfortable.,"Reviewed in the United States on December 11, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"The colors are vibrant, the is true to size. It is a good shirt. However this is not the good thick quality GAP flannel shirt that i bought at the GAP store about 10 years ago. Guess everything IS changing....","Reviewed in the United States on June 4, 2024",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Not too heavy, not too thin. Fits great. Great shirt.","Reviewed in the United States on December 19, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Got it, like it, it fit like it should, looks great, great comfort. What more can I ask","Reviewed in the United States on September 12, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Sleeves were rolled up when I received it and cuff button about to fall off, other than that great.","Reviewed in the United States on March 16, 2023",3.0 out of 5 stars,3.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"But the colors aren’t as bold as the picture. I liked the color it actually is better, but it’s more like a powdery yellow and beige. Fit amazing, and quality was amazing","Reviewed in the United States on October 4, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,THE SHIRT WITH THE CLASSIC FIT IS GOOD BUT WRINKLES EASILY,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Camisa de franela de buena calidad, excelente para los meses de frío.","Reviewed in Mexico on November 28, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"schöne Farben, auch nach der Wäsche angenehm, kein Slim! aufpassen bei Figur mit Bäuchlein :)","Reviewed in Germany on November 23, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,ESTA MUY BIEN LA CAMISA DE FRANELA SUPER CHIDA,"Reviewed in Mexico on November 6, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Es una camisa excelente no tuve ningún problema cuando me la medi, la tela se siente bien, el corte está perrón, no encogió en la primera lavada. Sin duda volveré a comprar otra. Hay que prepararse para el otoño e invierno","Reviewed in Mexico on June 15, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Muy bonita, a la talla y de excelente calidad la franela.","Reviewed in Mexico on June 16, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Untucked-Flannel-Button-Blackwatch/dp/B09VS6TS69/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,Purchased to wear for my baby shower. Very cute and super flattering.,"Reviewed in the United States on August 2, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,I bought this dress and I just tried one and I did not like the material( to me it’s not the quality of gap clothing) I thought it was going to be soft just like the clothes from gap. It is not. It runs smallToo. I ordered M and around the arms is super tide.I won’t be wearing it.:(,"Reviewed in the United States on June 3, 2023",1.0 out of 5 stars,1.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,I’m not pregnant but this dress looks pretty darn good on me.,"Reviewed in the United States on July 14, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,I consider this a very nice dress. I love the fabric and style.,"Reviewed in the United States on February 27, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,"Somehow I missed the memo that this is maternity. I chose it for my very,very skinny 13 year old. It fits her, she loves it…. I am not sure how it could possibly fit a large belly, but it is comfy and attractive. I guess that means that you could buy it at the earliest stages of your pregnancy and get your moneys worth? If you aren’t breastfeeding, you could also wear it postpartum. I’m assuming that it fits shorter the larger you get throughout pregnancy.","Reviewed in the United States on March 30, 2023",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
